,어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자,위도,경도
332,파란나라어린이집,전라북도,전주시 덕진구,민간,124,8,전라북도 전주시 덕진구 원산정길 22,063-241-6522,063-241-6521,8,Y,8,2,,2019-04-01,35.84293706,127.1721222
333,작은천사어린이집,전라북도,전주시 덕진구,민간,97,6,전라북도 전주시 덕진구 견훤로 350,063-242-2050,063-245-2004,6,Y,12,0,,2019-04-01,35.84256405,127.1546094
334,아이세상어린이집,전라북도,전주시 덕진구,민간,51,10,전라북도 전주시 덕진구 오송1길 13-5,063-272-8819,063-275-8819,4,Y,12,4,,2019-04-01,35.86351741,127.1280246
335,다온어린이집,전라북도,전주시 덕진구,민간,36,6,전라북도 전주시 덕진구 숲정이2길 14,063-277-5877,063-278-1008,4,Y,1,1,,2019-04-01,35.40928672,127.3883232
336,하늘어린이집,전라북도,전주시 덕진구,민간,34,9,전라북도 전주시 덕진구 솔내로 124,063-252-2217,063-252-2218,4,Y,5,1,,2019-04-01,35.86127244,127.1277148
337,예빛어린이집,전라북도,전주시 덕진구,민간,39,7,전라북도 전주시 덕진구 팔복동2가 추천4길 44,063-212-4893,063-212-4893,4,N,0,1,,2019-04-01,35.85053933,127.1059073
338,엘프어린이집,전라북도,전주시 덕진구,민간,138,17,전라북도 전주시 덕진구 오송1길 17,063-272-2690,063-272-3059,8,Y,10,2,,2019-04-01,35.86320662,127.1286472
339,인애어린이집,전라북도,전주시 덕진구,민간,31,7,전라북도 전주시 덕진구 소리로 179,063-246-8855,063-246-8856,4,N,4,1,,2019-04-01,35.85803894,127.1500749
340,큰동그라미어린이집,전라북도,전주시 덕진구,민간,65,15,전라북도 전주시 덕진구 가재미로 23,063-244-5507,063-244-5506,6,Y,12,4,,2019-04-01,35.82717977,127.1628614
341,푸른꿈어린이집,전라북도,전주시 덕진구,민간,48,7,전라북도 전주시 덕진구 송천동2가 사근1길 11-6,063-277-8660,063-275-5336,4,N,0,1,,2019-04-01,35.86704037,127.1287305
342,아이들세상어린이집,전라북도,전주시 덕진구,민간,77,23,전라북도 전주시 덕진구 무삼지1길 14-3,063-244-2541,063-243-2541,13,Y,8,3,,2019-04-01,35.82536401,127.1619225
343,아중어린이집,전라북도,전주시 덕진구,민간,66,11,전라북도 전주시 덕진구 한배미3길 8,063-244-1199,063-244-5199,7,Y,9,1,,2019-04-01,35.82530633,127.1659514
344,햇살나라어린이집,전라북도,전주시 덕진구,민간,42,7,전라북도 전주시 덕진구 인후동1가 무삼지5길 6-3,063-247-6565,505-332-3300,8,Y,5,3,,2019-04-01,35.82771785,127.1644943
345,아이월드어린이집,전라북도,전주시 덕진구,민간,87,13,전라북도 전주시 덕진구 호성로 40,063-243-1780,063-243-1779,7,Y,8,2,,2019-04-01,37.36539093,126.9646147
346,동심어린이집,전라북도,전주시 덕진구,민간,200,26,전라북도 전주시 덕진구 원고랑1길 13,063-212-1754,063-214-4823,13,Y,22,3,,2019-04-01,35.87354945,127.0858967
347,한솔빛어린이집,전라북도,전주시 덕진구,민간,49,9,전라북도 전주시 덕진구 무삼지6길 8,063-243-9611,063-243-9612,6,N,4,1,,2019-04-01,35.82822219,127.1640304
348,예랑어린이집,전라북도,전주시 덕진구,민간,90,9,전라북도 전주시 덕진구 쪽구름1길 24,063-213-4540,063-213-4541,7,Y,0,1,,2019-04-01,35.87278566,127.078343
349,알곡어린이집,전라북도,전주시 덕진구,민간,114,15,전라북도 전주시 덕진구 원산정길 18,063-241-6004,063-246-6002,5,Y,8,2,,2019-04-01,35.84244963,127.1718914
350,예은어린이집,전라북도,전주시 덕진구,민간,80,9,전라북도 전주시 덕진구 와룡로 3,063-276-5611,063-275-5611,5,Y,0,1,,2019-04-01,37.40469464,126.8983446
351,순복음어린이집,전라북도,전주시 덕진구,민간,49,10,전라북도 전주시 덕진구 견훤왕궁로 246-3,063-255-0363,063-255-0364,4,N,2,1,,2019-04-01,35.84028419,127.1462137
352,훈민정음어린이집,전라북도,전주시 덕진구,민간,92,8,전라북도 전주시 덕진구 모래내5길 52,063-274-0543,063-278-0547,5,Y,0,2,,2019-04-01,35.83707674,127.1434186
353,자연생활어린이집,전라북도,전주시 덕진구,민간,137,20,전라북도 전주시 덕진구 초포로 250-15,063-254-4369,063-254-4359,8,Y,13,2,,2019-04-01,35.87294559,127.1485422
354,신나는푸르지오어린이집,전라북도,전주시 덕진구,민간,30,8,전라북도 전주시 덕진구 인후동1가 석소로 77,063-241-8006,063-241-8006,4,N,0,1,,2019-04-01,35.83363228,127.1651422
355,안디옥어린이집,전라북도,전주시 덕진구,민간,87,11,전라북도 전주시 덕진구 화정길 41,063-253-0545,063-253-3101,5,Y,9,3,,2019-04-01,35.87251773,127.142548
356,로뎀나무어린이집,전라북도,전주시 덕진구,민간,34,9,전라북도 전주시 덕진구 도당산로 48-5,063-241-2504,063-241-2503,5,N,6,1,,2019-04-01,35.84565766,127.1586467
357,그림나라어린이집,전라북도,전주시 덕진구,민간,37,8,전라북도 전주시 덕진구 와룡2길 5,063-275-2632,063-275-2633,4,N,6,3,,2019-04-01,35.86606542,127.1134098
358,아빠랑어린이집,전라북도,전주시 덕진구,민간,37,8,전라북도 전주시 덕진구 우아동3가 도당산4길 53-12,063-243-2919,063-247-2919,6,N,11,1,,2019-04-01,35.84540711,127.1557548
359,해미리어린이집,전라북도,전주시 덕진구,민간,99,15,전라북도 전주시 덕진구 배미실마을길 18,063-253-7477,063-253-7048,8,Y,16,3,,2019-04-01,35.86431071,127.1587415
360,채움어린이집,전라북도,전주시 덕진구,민간,49,7,전라북도 전주시 덕진구 무삼지5길 10,063-244-1247,063-241-1247,4,N,11,1,,2019-04-01,35.82757705,127.1643754
361,사임당어린이집,전라북도,전주시 덕진구,민간,49,12,전라북도 전주시 덕진구 팽나무4길 26,063-243-2240,063-243-2240,5,N,8,1,,2019-04-01,35.83417217,127.154403
362,예대어린이집,전라북도,전주시 덕진구,민간,422,33,전라북도 전주시 덕진구 시천로 29-27,063-275-4832,063-714-2020,20,Y,27,4,,2019-04-01,35.86025649,127.1133978
363,한샘어린이집,전라북도,전주시 덕진구,민간,49,7,전라북도 전주시 덕진구 초포로 228-9,070-8666-7236,063-253-8562,4,N,4,1,,2019-04-01,35.87372145,127.1465096
364,가온길어린이집,전라북도,전주시 덕진구,민간,49,9,전라북도 전주시 덕진구 견훤왕궁로 251,063-245-9482,063-245-9482,5,N,0,1,,2019-04-01,35.84049763,127.1455234
365,창대리더어린이집,전라북도,전주시 덕진구,민간,99,16,전라북도 전주시 덕진구 건산로 280,063-246-1147,063-242-3937,9,Y,11,2,,2019-04-01,35.83550068,127.1676777
366,더자람어린이집,전라북도,전주시 덕진구,민간,87,9,전라북도 전주시 덕진구 아중1길 9-5,063-714-2205,070-8668-8290,5,Y,9,1,,2019-04-01,35.82895729,127.170484
367,지혜의숲어린이집,전라북도,전주시 덕진구,민간,90,15,전라북도 전주시 덕진구 진버들2길 16,063-241-5578,063-241-5520,6,Y,0,1,,2019-04-01,35.83638849,127.1594804
368,가나어린이집,전라북도,전주시 덕진구,민간,30,8,전라북도 전주시 덕진구 안덕원1길 41,063-244-1355,063-244-1332,1,N,3,1,,2019-04-01,35.83986196,127.1658519
369,해바라기어린이집,전라북도,전주시 덕진구,민간,181,21,전라북도 전주시 덕진구 가리내로 590,063-277-3434,063-277-3599,10,Y,12,4,,2019-04-01,35.86119822,127.1088128
370,하민어린이집,전라북도,전주시 덕진구,민간,39,12,전라북도 전주시 덕진구 인교6길 7,063-242-9639,070-8228-8290,6,N,3,1,,2019-04-01,35.82565196,127.1722289
371,키즈쉐마어린이집,전라북도,전주시 덕진구,민간,49,14,전라북도 전주시 덕진구 우아동1가 인교로 3-14,063-245-2855,063-245-2860,5,Y,13,1,,2019-04-01,35.82470458,127.1709512
372,아이가크는숲예솔어린이집,전라북도,전주시 덕진구,민간,99,16,전라북도 전주시 덕진구 동가재미2길 59,063-245-3500,063-245-3500,7,Y,15,2,,2019-04-01,35.83487138,127.1666664
373,샛별재능어린이집,전라북도,전주시 덕진구,민간,66,10,전라북도 전주시 덕진구 조경단로 18-1,063-274-1918,063-277-1917,6,Y,0,2,,2019-04-01,35.8360368,127.137145
374,솔내어린이집,전라북도,전주시 덕진구,민간,38,10,전라북도 전주시 덕진구 천마산로 33,063-272-5488,063-272-5488,4,N,6,1,,2019-04-01,35.86500788,127.1266799
375,남양사랑나무어린이집,전라북도,전주시 덕진구,민간,39,8,전라북도 전주시 덕진구 팔복동2가 팔복1길 6,063-211-7211,063-212-7211,5,N,3,2,,2019-04-01,35.84746673,127.104815
376,쉐마어린이집,전라북도,전주시 덕진구,민간,99,17,전라북도 전주시 덕진구 호성로 18-5,063-241-5979,063-242-1695,6,Y,15,2,,2019-04-01,35.854153,127.1527259
377,초록빛키즈어린이집,전라북도,전주시 덕진구,민간,72,9,전라북도 전주시 덕진구 붓내3길 29,063-251-6020,063-251-6021,5,Y,10,2,,2019-04-01,35.86931383,127.1244985
378,꼬미꼬미어린이집,전라북도,전주시 덕진구,민간,30,10,전라북도 전주시 덕진구 인후동1가 석소로 55,063-245-3502,063-242-3502,4,Y,0,1,,2019-04-01,35.83271067,127.1653216
379,큰빛선교어린이집,전라북도,전주시 덕진구,민간,61,12,전라북도 전주시 덕진구 석소2길 11-4,063-244-1450,063-241-1451,5,Y,0,2,,2019-04-01,35.83381368,127.1685981
380,그린어린이집,전라북도,전주시 덕진구,민간,99,13,전라북도 전주시 덕진구 용신길 19-3,063-212-6700,063-214-6701,6,Y,15,4,,2019-04-01,35.74887589,127.5382769
381,양정어린이집,전라북도,전주시 덕진구,민간,82,10,전라북도 전주시 덕진구 솔내9길 8-11,063-275-3174,063-274-6892,6,Y,0,2,,2019-04-01,35.86311822,127.1256559
382,웃음꽃어린이집,전라북도,전주시 덕진구,민간,22,6,전라북도 전주시 덕진구 우아동2가 중상보로 10,063-903-6730,063-246-6730,3,N,3,1,,2019-04-01,35.83068716,127.169083
383,아이사랑어린이집,전라북도,전주시 덕진구,민간,99,10,전라북도 전주시 덕진구 반룡1길 8,063-212-8873,063-212-8874,6,Y,9,1,,2019-04-01,35.86024642,127.090539
384,꼬마세상어린이집,전라북도,전주시 덕진구,민간,24,5,전라북도 전주시 덕진구 쪽구름로 19,063-212-2057,063-212-2057,4,N,0,1,,2019-04-01,35.86790491,127.0771191
385,더조은어린이집,전라북도,전주시 덕진구,민간,288,38,전라북도 전주시 덕진구 솔내5길 18,063-251-9534,063-277-9534,18,Y,32,5,,2019-04-01,35.85705228,127.1223851
386,예트니어린이집,전라북도,전주시 덕진구,민간,79,9,전라북도 전주시 덕진구 사근1길 23-13,063-251-9290,063-254-9291,5,Y,0,1,,2019-04-01,35.8677227,127.1299145
387,진흥어린이집,전라북도,전주시 덕진구,민간,25,4,전라북도 전주시 덕진구 호성동1가 호성로 132,063-241-8854,063-241-8854,3,N,4,1,,2019-04-01,35.86221293,127.1496314
388,애플어린이집,전라북도,전주시 덕진구,민간,27,8,전라북도 전주시 덕진구 인후동1가 안덕원로 251,063-241-6780,063-241-6780,3,N,0,1,,2019-04-01,35.83772385,127.1537674
389,벼리어린이집,전라북도,전주시 덕진구,민간,25,7,전라북도 전주시 덕진구 호성동1가 호성로 138,063-247-5548,063-904-5548,3,N,0,1,,2019-04-01,35.86368647,127.1478208
390,동현어린이집,전라북도,전주시 덕진구,민간,82,12,전라북도 전주시 덕진구 명주1길 31-5,063-246-9198,063-246-9197,6,Y,7,2,,2019-04-01,35.84139662,127.1466537
391,아침해어린이집,전라북도,전주시 덕진구,민간,76,5,전라북도 전주시 덕진구 호성동2가 화정안길 25,063-276-6787,063-276-6727,6,Y,0,1,,2019-04-01,35.87216397,127.1435408
392,엘사랑어린이집,전라북도,전주시 덕진구,민간,39,11,전라북도 전주시 덕진구 반월4길 15,063-211-8380,063-211-8381,4,N,0,1,,2019-04-01,35.87499416,127.0712831
393,동화숲어린이집,전라북도,전주시 덕진구,민간,39,10,전라북도 전주시 덕진구 견훤왕궁로 277,063-255-2627,063-255-2629,4,N,4,1,,2019-04-01,35.84261453,127.1440857
394,성품좋은어린이집,전라북도,전주시 덕진구,민간,46,11,전라북도 전주시 덕진구 천마산로 100,063-251-2232,063-251-2232,4,N,0,1,,2019-04-01,35.86477149,127.1317063
395,바하어린이집,전라북도,전주시 덕진구,민간,112,11,전라북도 전주시 덕진구 거북바우로 53,063-723-3355,063-723-3357,7,Y,14,2,,2019-04-01,35.83885522,127.1425589
396,푸르니어린이집,전라북도,전주시 덕진구,민간,36,7,전라북도 전주시 덕진구 호성로 170,063-275-7171,063-275-7171,4,Y,6,0,,2019-04-01,35.86629341,127.1456216
397,송천동트는어린이집,전라북도,전주시 덕진구,민간,108,15,전라북도 전주시 덕진구 천마산로 116-3,063-275-7737,063-275-7732,6,Y,4,2,,2019-04-01,35.86438273,127.133947
398,비전어린이집,전라북도,전주시 덕진구,민간,59,9,전라북도 전주시 덕진구 인후동1가 견훤로 333,063-714-3943,063-714-3945,4,Y,2,1,,2019-04-01,35.83994842,127.1548923
399,행복숲어린이집,전라북도,전주시 덕진구,민간,49,8,전라북도 전주시 덕진구 백동로 32,063-246-0657,063-246-9780,5,N,9,1,,2019-04-01,38.05509209,126.9704069
400,아기숲어린이집,전라북도,전주시 덕진구,민간,27,9,전라북도 전주시 덕진구 거북바우3길 15,063-274-1288,063-274-1248,4,N,2,1,,2019-04-01,35.83725553,127.1393008
401,센트럴키즈어린이집,전라북도,전주시 덕진구,민간,44,13,전라북도 전주시 덕진구 송천로 1,063-275-1116,063-275-1116,5,Y,0,1,,2019-04-01,35.85298273,127.1189031
402,장동에코르어린이집,전라북도,전주시 덕진구,민간,34,8,전라북도 전주시 덕진구 정암길 19,063-213-3335,063-213-8885,5,N,6,0,,2019-04-01,35.86112204,127.0604973
403,베베숲어린이집,전라북도,전주시 덕진구,민간,40,8,전라북도 전주시 덕진구 덕진동2가 가련산로 24,063-277-4465,063-277-4475,4,N,6,1,,2019-04-01,35.84094399,127.1117026
404,소망어린이집,전라북도,전주시 덕진구,민간,91,12,전라북도 전주시 덕진구 실리1길 26-8,063-211-9888,063-211-7778,6,Y,13,3,,2019-04-01,35.8723671,127.0688154
405,해와솔어린이집,전라북도,전주시 덕진구,민간,37,11,전라북도 전주시 덕진구 인후동1가 무삼지로 10,063-246-9967,063-246-9967,3,N,3,1,,2019-04-01,35.82733654,127.1675484
406,호두나무어린이집,전라북도,전주시 덕진구,민간,24,6,전라북도 전주시 덕진구 가리내로 216,063-255-2279,063-255-2279,3,N,0,1,,2019-04-01,35.83895266,127.1133424
407,키즈멘토어린이집,전라북도,전주시 덕진구,민간,39,9,전라북도 전주시 덕진구 가리내6길 16-12,063-255-6788,063-256-6788,7,N,7,1,,2019-04-01,35.84567341,127.110156
408,레마어린이집,전라북도,전주시 덕진구,민간,35,8,전라북도 전주시 덕진구 덕진동2가 가리내6길 20-6,063-241-4233,,4,N,7,1,,2019-04-01,35.84520125,127.1096612
409,좋은어린이집,전라북도,전주시 덕진구,민간,21,5,전라북도 전주시 덕진구 덕진동2가 추탄로 61,063-273-5678,063-273-5679,3,N,0,1,,2019-04-01,35.84629754,127.1083656
410,하가엔젤어린이집,전라북도,전주시 덕진구,민간,99,12,전라북도 전주시 덕진구 덕진동2가 상가마을길 8-14,063-275-5115,063-276-5515,7,Y,0,2,,2019-04-01,35.83893136,127.1147066
411,노리키즈어린이집,전라북도,전주시 덕진구,민간,39,11,전라북도 전주시 덕진구 덕진동2가 가리내6길 10-5,063-276-5258,,4,N,0,1,,2019-04-01,35.84537965,127.1103948
412,예뜰어린이집,전라북도,전주시 덕진구,민간,85,14,전라북도 전주시 덕진구 송천동1가 솔내7길 40-5,063-255-4279,063-255-4278,9,Y,11,2,,2019-04-01,35.85904091,127.1258648
413,꿈이크는어린이집,전라북도,전주시 덕진구,민간,71,10,전라북도 전주시 덕진구 송천동1가 솔내2길 73,063-277-0085,063-228-0086,6,Y,15,2,,2019-04-01,35.85796359,127.1243543
414,솔빛어린이집,전라북도,전주시 덕진구,민간,21,5,전라북도 전주시 덕진구 송천동1가 송천3길 55,063-277-7931,063-277-7931,4,N,0,0,,2019-04-01,37.68082139,127.3402909
415,드림키즈어린이집,전라북도,전주시 덕진구,민간,40,10,전라북도 전주시 덕진구 송천동2가 천마산로 113,063-275-0845,063-275-0843,4,N,0,1,,2019-04-01,37.67063847,127.2513057
416,우미어린이집,전라북도,전주시 덕진구,민간,45,11,전라북도 전주시 덕진구 틀못4길 17,063-901-3789,063-901-3708,5,N,0,1,,2019-04-01,35.84396945,127.0573225
417,호반예꼬별어린이집,전라북도,전주시 덕진구,민간,57,13,전라북도 전주시 덕진구 출판로 87,063-214-5252,063-214-5255,6,N,8,1,,2019-04-01,35.83987476,127.0624036
418,전주하가부영사랑으로 어린이집,전라북도,전주시 덕진구,민간,47,10,전라북도 전주시 덕진구 덕진동2가 경동로 20,063-277-3007,063-277-3027,0,N,4,0,,2019-04-01,35.84282614,127.1068885
419,나래울어린이집,전라북도,전주시 덕진구,민간,23,7,전라북도 전주시 덕진구 쪽구름5길 43-7,063-214-3116,063-214-3116,0,N,4,1,,2019-04-01,35.87540248,127.0808751
420,온빛어린이집,전라북도,전주시 덕진구,민간,64,13,전라북도 전주시 덕진구 출판로 69,063-213-3352,063-213-3353,0,Y,14,0,,2019-04-01,35.83993311,127.0610976
421,예담어린이집,전라북도,전주시 덕진구,민간,45,11,전라북도 전주시 덕진구 틀못1길 15,063-213-7990,,0,N,0,1,,2019-04-01,35.83993216,127.0564009
422,하가오투어린이집,전라북도,전주시 덕진구,민간,29,10,전라북도 전주시 덕진구 덕진동2가 경동로 19,063-272-1554,,0,N,0,0,,2019-04-01,35.84431959,127.1079238
423,이지움어린이집,전라북도,전주시 덕진구,민간,38,10,전라북도 전주시 덕진구 인후동2가 백동2길 11,063-243-5201,063-243-5201,0,N,6,0,,2019-04-01,35.84567354,127.1475257
424,새봄어린이집,전라북도,전주시 덕진구,민간,26,5,전라북도 전주시 덕진구 틀못4길 33,063-214-4267,063-214-4267,0,N,5,0,,2019-04-01,35.84571307,127.0589108
425,스위첸어린이집,전라북도,전주시 덕진구,민간,33,9,전라북도 전주시 덕진구 송천동1가 오송1길 37-17,063-273-5576,,0,N,4,0,,2019-04-01,35.86374099,127.1299748
426,하가휴먼빌 어린이집,전라북도,전주시 덕진구,민간,46,12,전라북도 전주시 덕진구 덕진동2가 하가로 10,063-251-3298,063-251-3298,0,N,8,1,,2019-04-01,35.84344779,127.1120702
427,중흥키즈어린이집,전라북도,전주시 덕진구,민간,49,12,전라북도 전주시 덕진구 틀못3길 16,063-213-7942,063-213-7942,0,Y,5,1,,2019-04-01,35.84178105,127.0555384
428,리움어린이집,전라북도,전주시 덕진구,민간,73,16,전라북도 전주시 덕진구 만성동로 16,063-211-3421,063-211-3421,0,Y,0,1,,2019-04-01,35.83851127,127.0746896
429,에코자이어린이집,전라북도,전주시 덕진구,민간,73,13,전라북도 전주시 덕진구 송천동2가 세병로 111,063-252-0900,063-252-0901,0,Y,0,0,,2019-04-01,35.87454355,127.1352299
430,에코드림키즈어린이집,전라북도,전주시 덕진구,민간,82,10,전라북도 전주시 덕진구 송천동2가 세병로 85,063-277-0845,,0,Y,0,0,,2019-04-01,35.87207631,127.1322083
431,데시앙키움어린이집,전라북도,전주시 덕진구,민간,97,18,전라북도 전주시 덕진구 송천동2가 세병로 41,063-255-5628,063-255-5628,0,Y,0,1,,2019-04-01,35.87440204,127.1298461
432,좋은나무어린이집,전라북도,전주시 덕진구,민간,92,9,전라북도 전주시 덕진구 만성로 181,063-212-5656,,0,Y,0,0,,2019-04-01,35.84818484,127.0797107
433,더샵신나는아이어린이집,전라북도,전주시 덕진구,민간,71,15,전라북도 전주시 덕진구 송천동2가 세병로 175,063-277-5652,,0,Y,0,1,,2019-04-01,35.87801123,127.1331095
434,새소망어린이집,전라북도,전주시 덕진구,가정,19,5,전라북도 전주시 덕진구 붓내3길 29,063-904-5550,063-904-5550,3,N,0,1,,2019-04-01,35.86931383,127.1244985
435,해피자이어린이집,전라북도,전주시 덕진구,가정,19,4,전라북도 전주시 덕진구 송천동1가 두간6길 10,063-273-1420,063-273-1420,3,N,0,1,,2019-04-01,35.86619968,127.1194816
436,크는새싹어린이집,전라북도,전주시 덕진구,가정,19,7,전라북도 전주시 덕진구 견훤로 333,063-247-0929,,3,N,0,1,,2019-04-01,35.83994842,127.1548923
437,재능영재어린이집,전라북도,전주시 덕진구,가정,16,5,전라북도 전주시 덕진구 무삼지로 40,063-244-7977,063-244-7977,2,N,0,0,,2019-04-01,35.82850789,127.1652203
438,거북이어린이집,전라북도,전주시 덕진구,가정,20,6,전라북도 전주시 덕진구 호성동1가 호성로 40,063-242-8211,063-242-8211,3,N,0,1,,2019-04-01,37.36539093,126.9646147
439,세원어린이집,전라북도,전주시 덕진구,가정,13,1,전라북도 전주시 덕진구 호성동1가 호성1길 29,063-243-4028,063-243-4028,2,N,0,0,,2019-04-01,35.85528311,127.1533395
440,리틀하우스어린이집,전라북도,전주시 덕진구,가정,19,6,전라북도 전주시 덕진구 붓내3길 29,063-274-6089,063-274-6089,3,N,0,1,,2019-04-01,35.86931383,127.1244985
441,이삭어린이집,전라북도,전주시 덕진구,가정,13,3,전라북도 전주시 덕진구 쪽구름로 123,063-212-3834,063-212-3834,2,N,0,0,,2019-04-01,35.87255633,127.0708942
442,모세어린이집,전라북도,전주시 덕진구,가정,13,4,전라북도 전주시 덕진구 편운로 54-68,063-212-3383,063-904-9046,3,N,0,1,,2019-04-01,35.87188208,127.0817094
443,클로버어린이집,전라북도,전주시 덕진구,가정,13,5,전라북도 전주시 덕진구 붓내3길 29,063-245-0279,,3,N,0,1,,2019-04-01,35.86931383,127.1244985
444,이삭영재어린이집,전라북도,전주시 덕진구,가정,13,3,전라북도 전주시 덕진구 붓내3길 29,063-273-0599,063-273-0598,3,N,0,1,,2019-04-01,35.86931383,127.1244985
445,큰숲어린이집,전라북도,전주시 덕진구,가정,13,3,전라북도 전주시 덕진구 우아동3가 동부대로 575,063-901-5220,063-241-5220,3,N,0,0,,2019-04-01,35.84058954,127.1673486
446,동화나라어린이집,전라북도,전주시 덕진구,가정,10,3,전라북도 전주시 덕진구 기린대로 1018-7,063-286-6168,063-212-0009,2,N,0,0,,2019-04-01,35.86841198,127.0746562
447,궁전아가어린이집,전라북도,전주시 덕진구,가정,14,2,전라북도 전주시 덕진구 백동5길 28,063-247-2028,063-247-2028,3,N,0,0,,2019-04-01,35.84854514,127.1501317
448,꿈초롱어린이집,전라북도,전주시 덕진구,가정,19,3,전라북도 전주시 덕진구 쪽구름로 19,063-214-5351,063-214-5352,3,N,0,1,,2019-04-01,35.86790491,127.0771191
449,호성꿈나무어린이집,전라북도,전주시 덕진구,가정,18,1,전라북도 전주시 덕진구 호성로 132,063-242-4950,063-242-4950,3,N,4,0,,2019-04-01,35.86221293,127.1496314
450,꼬마별어린이집,전라북도,전주시 덕진구,가정,17,3,전라북도 전주시 덕진구 반월5길 8,063-211-2442,063-211-2442,3,N,0,1,,2019-04-01,35.87272437,127.0684823
451,소원어린이집,전라북도,전주시 덕진구,가정,20,1,전라북도 전주시 덕진구 호성동1가 동부대로 787,063-904-7878,063-904-7878,3,N,0,0,,2019-04-01,35.85735698,127.154401
452,꼬마짱어린이집,전라북도,전주시 덕진구,가정,20,6,전라북도 전주시 덕진구 두간6길 7,063-272-8400,063-272-8400,3,N,0,1,,2019-04-01,35.86591628,127.1177993
453,해나라가정어린이집,전라북도,전주시 덕진구,가정,19,5,전라북도 전주시 덕진구 붓내3길 29,063-254-3380,063-254-3380,3,N,0,1,,2019-04-01,35.86931383,127.1244985
454,늘푸른어린이집,전라북도,전주시 덕진구,가정,13,4,전라북도 전주시 덕진구 천마산로 33,063-904-4001,063-904-4001,3,N,0,0,,2019-04-01,35.86500788,127.1266799
455,신나는어린이집,전라북도,전주시 덕진구,가정,13,3,전라북도 전주시 덕진구 무삼지로 32,063-245-3515,063-245-3515,3,N,0,1,,2019-04-01,35.82858746,127.164768
456,예쁜새싹어린이집,전라북도,전주시 덕진구,가정,19,5,전라북도 전주시 덕진구 석소로 29,063-241-9206,063-241-9206,3,N,0,1,,2019-04-01,35.83004846,127.1684262
457,씽씽가정어린이집,전라북도,전주시 덕진구,가정,13,3,전라북도 전주시 덕진구 무삼지로 32,063-245-3960,063-245-3960,3,N,0,0,,2019-04-01,35.82858746,127.164768
458,희망찬어린이집,전라북도,전주시 덕진구,가정,19,3,전라북도 전주시 덕진구 호성2길 16,063-246-5406,063-246-5406,3,N,0,0,,2019-04-01,35.85942009,127.1521699
459,꼬마숲어린이집,전라북도,전주시 덕진구,가정,19,4,전라북도 전주시 덕진구 송천동2가 천마산로 115,063-902-0052,,3,N,0,1,,2019-04-01,35.86515489,127.1353493
460,뽀뽀뽀어린이집,전라북도,전주시 덕진구,가정,19,3,전라북도 전주시 덕진구 송천동2가 사근1길 11,063-271-3617,063-271-3617,3,N,0,0,,2019-04-01,35.8682208,127.1283436
461,잼잼어린이집,전라북도,전주시 덕진구,가정,20,6,전라북도 전주시 덕진구 천마산로 100,063-253-9341,063-253-9341,3,N,0,1,,2019-04-01,35.86477149,127.1317063
462,우정어린이집,전라북도,전주시 덕진구,가정,13,4,전라북도 전주시 덕진구 천마산로 575,063-245-1366,063-245-1366,3,N,0,1,,2019-04-01,37.6630354,127.2480653
463,해와별어린이집,전라북도,전주시 덕진구,가정,20,4,전라북도 전주시 덕진구 호성로 132,063-901-3722,063-901-3722,3,N,0,1,,2019-04-01,35.86221293,127.1496314
464,에바다어린이집,전라북도,전주시 덕진구,가정,19,6,전라북도 전주시 덕진구 솔내로 142,063-274-7388,063-274-7388,3,N,0,1,,2019-04-01,35.86251929,127.1288431
465,럭키해맑은어린이집,전라북도,전주시 덕진구,가정,20,6,전라북도 전주시 덕진구 동부대로 611,063-903-9038,063-902-9038,3,N,1,1,,2019-04-01,35.84412192,127.1645497
466,꼬마랑어린이집,전라북도,전주시 덕진구,가정,13,3,전라북도 전주시 덕진구 한배미로 33,063-245-6617,063-245-6617,3,N,0,0,,2019-04-01,35.82450963,127.1687272
467,엘림몬테소리어린이집,전라북도,전주시 덕진구,가정,20,5,전라북도 전주시 덕진구 솔내로 142,063-275-0141,063-275-0141,3,N,0,1,,2019-04-01,35.86251929,127.1288431
468,아이누리어린이집,전라북도,전주시 덕진구,가정,18,6,전라북도 전주시 덕진구 솔내9길 5,063-274-0323,063-274-0323,3,N,0,1,,2019-04-01,35.86228776,127.1261232
469,우주가정어린이집,전라북도,전주시 덕진구,가정,13,2,전라북도 전주시 덕진구 무삼지로 40,063-245-9043,063-245-9043,3,N,0,0,,2019-04-01,35.82850789,127.1652203
470,에디슨어린이집,전라북도,전주시 덕진구,가정,19,5,전라북도 전주시 덕진구 송천동2가 사근1길 11,063-905-8775,063-905-8775,3,N,0,1,,2019-04-01,35.8682208,127.1283436
471,자이으뜸 어린이집,전라북도,전주시 덕진구,가정,19,5,전라북도 전주시 덕진구 두간6길 8,063-905-3725,063-905-3725,3,N,0,1,,2019-04-01,35.86593317,127.1181287
472,예쁜엄지어린이집,전라북도,전주시 덕진구,가정,19,5,전라북도 전주시 덕진구 호성로 40,063-241-5540,063-241-2382,3,N,0,1,,2019-04-01,37.36539093,126.9646147
473,아기토마토어린이집,전라북도,전주시 덕진구,가정,19,5,전라북도 전주시 덕진구 벚꽃로 57,063-273-0079,063-273-6679,3,N,0,1,,2019-04-01,35.82971516,127.1357465
